iter	Passed	Remaining
770	8371	11270
771	8381	11259
772	8394	11249
773	8408	11243
774	8422	11236
775	8435	11229
776	8448	11220
777	8461	11212
778	8472	11202
779	8484	11192
780	8495	11182
781	8506	11172
782	8518	11162
783	8530	11153
784	8542	11142
785	8558	11139
786	8569	11128
787	8582	11120
788	8594	11110
789	8605	11100
790	8616	11089
791	8629	11081
792	8641	11071
793	8652	11061
794	8663	11050
795	8675	11041
796	8686	11029
797	8695	11016
798	8704	11003
799	8714	10991
800	8726	10981
801	8737	10971
802	8748	10960
803	8759	10948
804	8769	10937
805	8779	10925
806	8789	10913
807	8800	10902
808	8812	10892
809	8824	10883
810	8836	10874
811	8848	10864
812	8859	10853
813	8875	10849
814	8887	10839
815	8897	10827
816	8908	10817
817	8920	10806
818	8930	10794
819	8940	10783
820	8951	10771
821	8961	10760
822	8972	10750
823	8983	10738
824	8993	10726
825	9005	10716
826	9016	10706
827	9026	10694
828	9036	10682
829	9046	10670
830	9057	10659
831	9068	10648
832	9078	10637
833	9089	10626
834	9100	10615
835	9113	10606
836	9124	10595
837	9133	10583
838	9145	10573
839	9157	10563
840	9168	10553
841	9180	10543
842	9194	10536
843	9205	10525
844	9215	10513
845	9226	10502
846	9239	10493
847	9249	10482
848	9262	10473
849	9272	10461
850	9281	10448
851	9290	10435
852	9299	10422
853	9310	10412
854	9321	10400
855	9332	10390
856	9344	10380
857	9356	10370
858	9367	10359
859	9380	10351
860	9396	10346
861	9408	10335
862	9420	10326
863	9433	10317
864	9444	10307
865	9455	10295
866	9479	10299
867	9488	10287
868	9500	10276
869	9511	10265
870	9521	10253
871	9534	10244
872	9546	10235
873	9560	10227
874	9571	10217
875	9581	10205
876	9593	10195
877	9605	10185
878	9616	10174
879	9632	10169
880	9643	10157
881	9654	10147
882	9665	10135
883	9677	10126
884	9688	10114
885	9698	10103
886	9709	10092
887	9719	10081
888	9730	10069
889	9741	10058
890	9752	10048
891	9762	10036
892	9774	10025
893	9784	10014
894	9796	10004
895	9807	9993
896	9818	9982
897	9829	9971
898	9844	9964
899	9857	9956
900	9870	9947
901	9882	9937
902	9895	9928
903	9908	9919
904	9921	9910
905	9932	9899
906	9944	9889
907	9958	9881
908	9970	9871
909	9981	9861
910	9991	9849
911	10003	9838
912	10012	9826
913	10024	9816
914	10036	9805
915	10046	9794
916	10056	9782
917	10068	9772
918	10078	9760
919	10088	9748
920	10098	9736
921	10109	9725
922	10120	9714
923	10132	9704
924	10144	9694
925	10155	9684
926	10166	9673
927	10178	9662
928	10189	9652
929	10201	9641
930	10212	9630
931	10223	9619
932	10235	9609
933	10247	9600
934	10259	9589
935	10271	9579
936	10280	9567
937	10289	9554
938	10299	9542
939	10309	9530
940	10318	9518
941	10330	9507
942	10342	9498
943	10354	9487
944	10365	9476
945	10376	9466
946	10388	9455
947	10400	9446
948	10414	9437
949	10426	9427
950	10439	9418
951	10451	9408
952	10461	9396
953	10474	9387
954	10493	9383
955	10506	9374
956	10517	9363
957	10527	9352
958	10544	9346
959	10555	9334
960	10564	9322
961	10573	9309
962	10583	9297
963	10594	9286
964	10606	9276
965	10617	9265
966	10628	9254
967	10638	9243
968	10650	9232
969	10660	9220
970	10672	9210
971	10683	9199
972	10694	9188
973	10705	9177
974	10716	9166
975	10727	9155
976	10742	9148
977	10753	9137
978	10763	9125
979	10774	9114
980	10785	9103
981	10796	9092
982	10808	9082
983	10820	9071
984	10833	9062
985	10844	9051
986	10855	9040
987	10866	9029
988	10879	9020
989	10891	9009
990	10902	8999
991	10916	8990
992	10932	8984
993	10943	8972
994	10954	8962
995	10964	8949
996	10977	8940
997	10989	8930
998	11000	8919
999	11011	8908
1000	11023	8897
1001	11034	8886
1002	11046	8876
1003	11055	8864
1004	11067	8853
1005	11078	8843
1006	11089	8831
1007	11099	8820
1008	11109	8808
1009	11120	8797
1010	11132	8786
1011	11142	8775
1012	11152	8763
1013	11167	8755
1014	11177	8743
1015	11190	8734
1016	11200	8722
1017	11212	8711
1018	11223	8701
1019	11235	8690
1020	11247	8680
1021	11259	8670
1022	11269	8658
1023	11279	8647
1024	11290	8635
1025	11300	8623
1026	11313	8614
1027	11324	8603
1028	11335	8592
1029	11345	8581
1030	11355	8569
1031	11367	8558
1032	11378	8547
1033	11389	8536
1034	11400	8525
1035	11410	8513
1036	11421	8502
1037	11432	8491
1038	11448	8484
1039	11462	8475
1040	11476	8467
1041	11490	8457
1042	11502	8447
1043	11518	8440
1044	11533	8432
1045	11547	8423
1046	11559	8412
1047	11580	8409
1048	11599	8403
1049	11614	8395
1050	11631	8388
1051	11647	8381
1052	11663	8373
1053	11676	8363
1054	11688	8353
1055	11700	8343
1056	11714	8334
1057	11726	8324
1058	11738	8313
1059	11747	8300
1060	11757	8288
1061	11766	8276
1062	11778	8265
1063	11790	8255
1064	11801	8244
1065	11813	8233
1066	11825	8223
1067	11836	8212
1068	11846	8200
1069	11858	8190
1070	11870	8179
1071	11881	8168
1072	11892	8157
1073	11902	8145
1074	11913	8134
1075	11924	8123
1076	11934	8111
1077	11943	8098
1078	11952	8086
1079	11962	8074
1080	11971	8062
1081	11980	8050
1082	11989	8037
1083	12000	8026
1084	12010	8014
1085	12020	8002
1086	12029	7990
1087	12037	7977
1088	12046	7964
1089	12056	7952
1090	12067	7941
1091	12077	7930
1092	12087	7918
1093	12095	7905
1094	12105	7893
1095	12113	7880
1096	12124	7869
1097	12136	7858
1098	12146	7847
1099	12155	7834
1100	12163	7822
1101	12172	7809
1102	12182	7797
1103	12192	7786
1104	12201	7773
1105	12212	7762
1106	12223	7751
1107	12232	7739
1108	12240	7726
1109	12251	7715
1110	12264	7705
1111	12275	7694
1112	12285	7682
1113	12295	7670
1114	12304	7658
1115	12314	7646
1116	12323	7634
1117	12333	7623
1118	12343	7611
1119	12353	7599
1120	12362	7587
1121	12372	7575
1122	12382	7564
1123	12392	7552
1124	12401	7540
1125	12411	7528
1126	12420	7516
1127	12431	7505
1128	12440	7493
1129	12450	7481
1130	12461	7470
1131	12471	7458
1132	12481	7447
1133	12491	7435
1134	12502	7424
1135	12515	7414
1136	12524	7402
1137	12535	7391
1138	12547	7380
1139	12557	7369
1140	12568	7358
1141	12578	7346
1142	12587	7334
1143	12597	7322
1144	12606	7310
1145	12617	7299
1146	12627	7287
1147	12636	7276
1148	12647	7264
1149	12657	7253
1150	12668	7242
1151	12679	7231
1152	12689	7219
1153	12699	7208
1154	12709	7196
1155	12719	7184
1156	12728	7172
1157	12739	7161
1158	12749	7150
1159	12758	7138
1160	12767	7126
1161	12778	7114
1162	12787	7102
1163	12798	7091
1164	12808	7080
1165	12817	7068
1166	12827	7056
1167	12838	7045
1168	12848	7034
1169	12858	7022
1170	12869	7011
1171	12880	7000
1172	12890	6989
1173	12900	6977
1174	12910	6966
1175	12925	6957
1176	12935	6945
1177	12946	6934
1178	12955	6922
1179	12965	6911
1180	12978	6901
1181	12989	6890
1182	12999	6878
1183	13008	6866
1184	13018	6855
1185	13026	6842
1186	13036	6831
1187	13046	6819
1188	13056	6808
1189	13065	6796
1190	13075	6784
1191	13086	6773
1192	13097	6762
1193	13107	6751
1194	13117	6739
1195	13126	6727
1196	13136	6716
1197	13146	6704
1198	13155	6693
1199	13167	6682
1200	13177	6671
1201	13189	6660
1202	13207	6652
1203	13219	6642
1204	13233	6633
1205	13249	6624
1206	13264	6615
1207	13281	6607
1208	13293	6597
1209	13310	6589
1210	13320	6577
1211	13329	6565
1212	13338	6553
1213	13348	6542
1214	13359	6531
1215	13369	6519
1216	13379	6508
1217	13389	6496
1218	13399	6485
1219	13411	6474
1220	13421	6463
1221	13431	6451
1222	13440	6440
1223	13450	6428
1224	13459	6416
1225	13469	6405
1226	13481	6394
1227	13492	6383
1228	13503	6372
1229	13513	6361
1230	13524	6350
1231	13535	6339
1232	13547	6328
1233	13557	6317
1234	13567	6305
1235	13579	6295
1236	13589	6284
1237	13600	6272
1238	13611	6262
1239	13623	6251
1240	13635	6241
1241	13645	6229
1242	13656	6218
1243	13666	6207
1244	13677	6196
1245	13687	6184
1246	13697	6173
1247	13707	6161
1248	13717	6150
1249	13727	6138
1250	13737	6127
